idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
425294,1000085066,120,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,WM3,M5153WM3,Welding spyder bores,,6,,,,,1.00009E+12,,,,1,,,,,,,,,
425292,1000085066,100,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,WM3,M5153WM3,Welding OD bearing seat,,1.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425291,1000085066,90,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,QC2,M5153QC2,Check crack,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425290,1000085066,80,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Striping retainer faces,,2,,,,,1.00009E+11,,,,1,,,,,,,,,
425285,1000085066,30,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Machining  bearing seat and end face contact area,,2,,,,,1.00009E+11,,,,1,,,,,,,,,
425286,1000085066,40,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,QC2,M5153QC2,Inspection,,1,,,,,1.00009E+11,,,,1,,,,,,,,,
425287,1000085066,50,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Striping OD bearing seat,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425289,1000085066,70,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,HB,M5153CLT,Striping spyder bores,,2,,,,,1.00009E+11,,,,1,,,,,,,,,
425288,1000085066,60,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Striping thrust washer face,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425283,1000085066,10,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,DIS,M5153DIS,Remove dowel and bearing,,3,,,,,1.00009E+11,,,,1,,,,,,,,,
